,Codigo Ponto,Data Coleta,y_test,svm_target,rf_target,dt_target,mlp_target
405,RGDE02900,2017-01-12,78.12737180446013,77.42028800708043,83.5342629709803,84.03648041918738,82.55098616770772
406,RGDE02200,2017-01-12,70.82947553524468,75.13641674392527,81.91421005555877,83.86763871909997,79.68597198971736
407,BITQ00100,2017-01-12,68.8715188768503,70.67350212909942,77.02173494504099,78.31338944848443,75.3916002775033
408,BILL02030,2017-01-12,44.92026640000813,53.88164888173599,53.634124215293156,54.80635135061625,56.13067214279318
409,BILL02900,2017-01-12,71.94693390496418,78.57693612870695,82.8423220398526,88.64614110394203,83.04219772434243
410,BIRP00500,2017-01-12,85.01729662978074,78.19182138726346,81.86201382642332,81.06338060607789,83.65993256154422
411,BILL02100,2017-01-12,63.57097821390369,64.69671564830752,66.1667091425926,73.42526748808118,67.53209952358816
412,BILL02500,2017-01-12,77.80983756113687,80.2271775402654,85.24816299506972,85.78005075959143,85.67211277379543
413,RGDE02030,2017-01-19,58.12024180673298,53.10961821647455,56.78307798832749,57.89009077586669,56.8458525206303
414,RGDE02900,2017-02-09,82.81914805325891,80.97016784134318,89.6018974363141,90.1371367114176,86.56430088295406
415,RGDE02030,2017-02-09,69.95994396043356,61.37008896548488,67.46601683217575,70.06347315802114,65.72245401262656
416,RGDE02200,2017-02-09,69.2103814599507,69.83754986966993,74.00920677679366,80.36614277261491,73.89352775786958
417,BILL02500,2017-02-23,66.61151482018815,68.25124024480267,73.514494599713,80.36614277261491,72.14374992034652
418,BILL02900,2017-02-23,76.12408032174419,75.03536401313424,81.05468453381395,76.94327514090142,80.1053746999752
419,BILL02100,2017-02-23,52.17246181496864,56.96527864650427,61.51943239648134,71.99581426274452,59.04341458649209
420,BITQ00100,2017-02-23,75.07159879043122,76.60203798992929,81.15842470535635,83.95552904528206,81.17850646579944
421,BIRP00500,2017-02-23,86.90140377008365,79.4177026258734,84.12932984855132,85.78005075959143,84.81989550677818
422,BILL02030,2017-02-23,42.62587370837197,49.48839573977051,45.708721188805924,48.17733217808469,52.14740993871061
423,RGDE02900,2017-03-08,75.28669740475058,69.78950340567731,71.3878407756603,73.62987785678988,75.88856638725096
424,RGDE02200,2017-03-08,74.91058096926633,68.66177046337197,76.72239083288872,76.39079634205238,73.42580105453129
425,RGDE02030,2017-03-15,77.96880309984219,69.15957290179414,75.9770806871414,78.31338944848443,73.62682120391985
426,BILL02500,2017-03-22,84.17419887948877,75.82761437846119,80.16794590378105,80.45140710737257,80.47765319235434
427,BITQ00100,2017-03-22,86.21978051096698,80.19565177046995,86.09045313746569,88.03798542793521,84.91862617293037
428,BILL02030,2017-03-22,55.27654472864197,54.438631497089965,54.81514052094313,54.34843196831655,57.35389919841586
429,BILL02900,2017-03-22,78.02680066812071,66.05890508500349,66.31210766825208,65.01561718709665,72.8084705257433
430,BILL02100,2017-03-22,67.41636941824474,60.29297642101279,62.704321547894935,66.67852124653436,63.81276329132911
431,BIRP00500,2017-03-22,86.07240824328426,76.3446324734508,83.08385986576114,81.7298362183449,80.48512411060142
432,RGDE02900,2017-04-05,83.56030783259746,75.04310315342433,80.12442726657117,82.89020667741553,80.1119277861822
433,RGDE02030,2017-04-05,83.43688858991551,74.97537275848971,79.97243165690952,84.83517106797294,79.94159579388767
434,RGDE02200,2017-04-05,69.62584219296906,69.4197770333837,74.07826838508306,80.36614277261491,73.31254607607404
435,BILL02030,2017-04-11,49.89771257187497,49.48740767149362,47.591314028466265,40.5919662642729,51.39655363408967
436,BILL02100,2017-04-11,57.11774112006035,56.795461918289035,57.16870639954812,54.34843196831655,60.0534873321436
437,BIRP00500,2017-04-11,85.49784304948959,77.32192829546605,79.03813491563487,81.59239474122215,82.72170127356051
438,BILL02500,2017-04-11,79.64920956553522,73.5575126250853,79.1299575714742,82.5766498059591,77.4830153084779
439,BITQ00100,2017-04-11,66.50485581603503,66.16081193508292,65.9297994473514,63.9767091447371,71.4302863507027
440,BILL02900,2017-04-11,88.43366548369653,80.43547828069137,88.13725153573135,88.87833142067392,86.0586943794141
441,RGDE02900,2017-05-04,83.17735223316826,75.36142485338917,78.80654280113434,79.7957432974658,80.94938803906462
442,RGDE02200,2017-05-04,82.63595030829724,75.37113115660891,80.44898788917425,86.97760187987524,80.55547013896548
443,BILL02900,2017-05-10,85.21475948884324,77.16470637854466,83.47514880978127,81.67989938356953,81.91380207515313
444,BILL02500,2017-05-10,87.31588908963153,77.91216246758562,81.99703651411991,86.86308163690174,82.57415014498139
445,BILL02030,2017-05-10,63.297369888975766,60.221193309177565,59.83743554289206,65.41070313650948,63.095465601510746
446,BILL02100,2017-05-10,72.92266034328357,67.82815718834054,71.2074112660372,67.73778165840903,71.56718811835455
447,BITQ00100,2017-05-10,80.7658242694822,74.52735738494896,78.5628761408793,78.53918344465849,78.99795369920687
448,BIRP00500,2017-05-10,84.29409472160263,76.18294483009882,82.51239471787352,84.83517106797294,81.29351189381289
449,RGDE02030,2017-05-25,61.552003406579445,55.72777117005645,62.06130790281529,68.2733220003973,60.422426148686135
450,RGDE02030,2017-06-06,62.50865721614826,58.2612605571063,59.34972701435892,60.965115576612426,63.06489685263416
451,RGDE02200,2017-06-06,68.91777053591366,62.394195889162,65.18921879526455,66.7911441038885,67.05857322462172
452,RGDE02900,2017-06-06,74.44592401953987,66.49239140359155,69.34689551122705,70.06347315802114,71.4222874171962
453,BITQ00100,2017-07-05,83.89453119392651,79.16300652963184,84.41871288406686,88.64614110394203,83.61894752231439
454,BILL02500,2017-07-05,86.84301853823523,77.26201648401808,81.26957991408284,80.6394790877854,81.78102569000198
455,BILL02100,2017-07-05,70.26262951132632,60.21142461338733,67.0402136138138,66.4996667239793,63.1588255035514
456,BILL02030,2017-07-05,60.21172473306953,54.96743810310265,54.488457331692565,54.03819342312614,57.57265552130153
457,RGDE02200,2017-07-05,66.95557495976757,64.50291171461997,64.88240861574648,62.641097335024995,68.85692584164104
458,BIRP00500,2017-07-05,86.9124975575054,79.04046085901683,86.15835399916008,87.42382113661235,84.49593297086253
459,BILL02900,2017-07-05,85.66016994065185,79.01168438570186,85.84436469386051,86.58326907121662,84.2064274881106
460,RGDE02900,2017-07-05,83.45920976437988,74.87185413335557,81.7161810119805,84.03648041918738,79.9575806078697
461,RGDE02030,2017-07-11,78.9107975874273,72.48393326171565,76.81483141688709,79.11525847502674,77.33082763714623
462,BILL02500,2017-08-09,83.9662330826484,77.58687018284928,82.58527914799595,82.67520914115023,81.55068090618765
463,BILL02100,2017-08-09,73.0941844263856,65.73861931829745,69.85888961754898,60.07948778909979,69.43474625921223
464,BILL02030,2017-08-09,68.8838859104661,60.485522614222,59.21579730414,50.3713544864317,63.53390770383586
465,BITQ00100,2017-08-09,81.80178321502443,75.47056031639133,80.36252018136443,82.5766498059591,79.7607146776974
466,BILL02900,2017-08-09,86.08297712896511,79.66618084933475,85.75459495617037,88.64614110394203,84.31049472036226
467,BIRP00500,2017-08-09,67.86708389660896,66.49709566458684,63.44496766646901,60.965115576612426,73.90842926664942
468,RGDE02900,2017-08-10,86.00238372388834,77.11317790412127,80.99221375225721,77.76127702225008,82.01991387063384
469,RGDE02030,2017-08-10,67.54214451188821,61.81635889965016,66.78672358187022,71.79740859999336,65.92459568218972
470,RGDE02200,2017-08-10,75.48401677789862,61.48123578020665,62.385925041194504,74.99588981976488,63.33077386120134
471,RGDE02030,2017-09-19,77.7410185237805,69.08869472516581,75.20970080733642,74.3053610338849,73.04632274921445
472,BILL02500,2017-09-28,71.50611543280111,72.77108657257732,73.24222375336802,66.53664942261742,77.03949941012681
473,BITQ00100,2017-09-28,70.87350123542356,71.9486594110328,72.40921377913091,69.87333101988092,76.28066869188382
474,BILL02100,2017-09-28,68.20354706242013,63.13437531364199,65.89029613205416,72.90908757382209,65.28371871301253
475,RGDE02200,2017-09-28,74.95205334142341,69.36652983004261,74.10053678153827,71.61817601312914,73.73090349289579
476,BILL02030,2017-09-28,57.20213299040192,53.12919073508955,52.068464555504576,69.3131503968923,54.84765039174347
477,RGDE02900,2017-09-28,74.42545987887794,73.61849127298086,78.27508036587854,79.09156532208672,78.68612052939105
478,BILL02030,2017-10-18,49.19851921314776,41.53721398438759,47.9658526645855,50.894766633508304,42.60371867388215
479,BILL02900,2017-10-18,87.31164591763756,80.24948448072051,87.03045663526535,86.72500611760573,85.39810693385022
480,BIRP00500,2017-10-18,90.73820672728164,81.71369285471235,90.49173321429788,90.76900166224632,87.27596843910578
481,BILL02100,2017-10-18,60.07121804308861,55.81332707179898,57.39747982552166,55.35552611161274,58.208377378152754
482,BILL02500,2017-10-18,80.5940228688985,78.37929437694602,84.10868482434437,85.32795685313864,82.81596135483198
483,BITQ00100,2017-10-18,82.78267345065454,77.22024349556895,83.20241060903493,88.64614110394203,81.36122928242911
